"Jurisdiction","GHPI","LHPI","Targeted GHPI"
"Slovenia",2.2422924192826e-05,0.365740740740741,7.16713138155592e-06
"Solomon Islands",0.000551907328532401,0.0773921166160691,-0.00190935185023649
"South Africa",0.000603519734708005,0.545842061451387,0.000132543705797415
"South Georgia and the South Sandwich Islands",0.0079057721323839,0.991580870889416,0.00551077873631309
"South Korea",9.2795693992083e-05,0.181279461279461,-7.23388398380258e-05
"Spain",0.0217469001959656,0.680051144948386,0.0141045532633443
"Sri Lanka",5.36959751150767e-05,0.0974898697149181,-0.000531653888423762
"Sudan",0.00208701119059313,0.205428379528117,0.00100611557808094
"Suriname",0.000878135542393463,0.438157894736842,0.000377257132358573
"Svalbard",0,0,-0.000196325865967493
"Sweden",0.00117968411847964,0.482296378175445,0.000408976196622693
"Syria",0,0,-7.09803606794745e-06
"Taiwan",0.000292563847496483,0.218349497702548,-8.8127511837824e-05
"Tanzania",0.00560694217992076,0.418911866764749,0.0027935571990691
"Thailand",0.00125616371384524,0.285397156093819,-0.000180020446006912
"Togo",0,0,-0.000177106086545841
"Tokelau",6.81947242018769e-06,0.0101633350412515,-0.000373906136778136
"Tonga",0.000309963224298398,0.0590289885546503,-0.000798251810476678
"Trinidad and Tobago",5.41985169001258e-05,0.16042328042328,-5.18780119893615e-05
"Trinidade",0.000258293299456941,0.807190660982456,0.000173521298572599
"Tristan Da Cunha",5.45869819714711e-05,0.107923851784352,-0.000410626154923633
"Tromelin Island",0,0,-0.00013689979665395
"Tunisia",0.00010908587834543,0.131866231969966,-0.00113266088652431
"Turkey",0.000211822030154329,0.198778195488722,7.72843410859713e-05
"Turks and Caicos Islands",0.000188443356852951,0.184819835432624,-0.000127741572241709
"Tuvalu",0.000156623962819154,0.0267734693440031,-0.000735984979833289
"Ukraine",0.00351705728198174,0.437853107344633,0.00070958421418065
"United Arab Emirates",0.000508410362362622,0.316622657748681,0.000128299799874551
"United Kingdom",0.0044506986960742,0.778427894164196,0.00233499734910101
"United States",0.0133632808666338,0.464737560579469,0.00171619618707386
"United States Virgin Islands",4.14878823782749e-05,0.161310528426585,-4.28782499565865e-05
"Uruguay",0.000298366554445216,0.218241042345277,9.94025080723831e-06
"Vanuatu",5.43450955307447e-05,0.0207498403104665,-0.000561278823652053
"Venezuela",0.00284247262823232,0.2459562636356,0.000679478626560924
"Vietnam",0.000382983260547119,0.0765351589540699,-0.000531483851207016
"Wake Island",0.000570573349738102,0.999768318896168,0.000399327120271423
"Wallis and Futuna",0,0,-0.000638524884164997
"Western Sahara",0,0,-9.97206604936575e-05
"Yemen",7.54015701059389e-06,0.020661229198519,-0.00116622565671241
