"ID","category","pixel_counts","group","percent_protected","UNION","ISO_TER1","ISO_SOV1"
14,"CoralReef2018_Py_v4_with_All_mpas",867,67,6.39427686407552,"Philippines","PHL","PHL"
14,"CoralReef2018_Py_v4_with_Managed_mpas",0,67,0,"Philippines","PHL","PHL"
14,"CoralReef2018_Py_v4_with_No_take_mpas",8,67,0.0590014012832805,"Philippines","PHL","PHL"
14,"Mangroves_v2",2692,68,100,"Philippines","PHL","PHL"
14,"Mangroves_v2_with_All_mpas",505,68,18.7592867756315,"Philippines","PHL","PHL"
14,"Mangroves_v2_with_Managed_mpas",1,68,0.037147102526003,"Philippines","PHL","PHL"
14,"Mangroves_v2_with_No_take_mpas",0,68,0,"Philippines","PHL","PHL"
14,"Saltmarshes_Py_v6",0,69,NA,"Philippines","PHL","PHL"
14,"Saltmarshes_Py_v6_with_All_mpas",0,69,NA,"Philippines","PHL","PHL"
14,"Saltmarshes_Py_v6_with_Managed_mpas",0,69,NA,"Philippines","PHL","PHL"
14,"Saltmarshes_Py_v6_with_No_take_mpas",0,69,NA,"Philippines","PHL","PHL"
14,"Seagrasses.Py.v7",15020,70,100,"Philippines","PHL","PHL"
14,"Seagrasses.Py.v7_with_All_mpas",2838,70,18.8948069241012,"Philippines","PHL","PHL"
14,"Seagrasses.Py.v7_with_Managed_mpas",11,70,0.0732356857523302,"Philippines","PHL","PHL"
