"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","managed","no_take","pp_all_mpas","pp_managed","pp_no_take"
"Matthew and Hunter Islands",NA,"FRA",25,"seagrasses",0,0,0,0,NA,NA,NA
"Panama","PAN","PAN",26,"coldcorals",33,0,0,0,0,0,0
"Panama","PAN","PAN",26,"coralreefs",634,31,0,0,4.88958990536278,0,0
"Panama","PAN","PAN",26,"mangroves",1525,286,170,0,18.7540983606557,11.1475409836066,0
"Panama","PAN","PAN",26,"saltmarshes",0,0,0,0,NA,NA,NA
"Panama","PAN","PAN",26,"seagrasses",1797,67,0,0,3.72843628269338,0,0
"Tromelin Island",NA,"FRA",27,"coldcorals",0,0,0,0,NA,NA,NA
"Tromelin Island",NA,"FRA",27,"coralreefs",5,0,0,0,0,0,0
"Tromelin Island",NA,"FRA",27,"mangroves",0,0,0,0,NA,NA,NA
"Tromelin Island",NA,"FRA",27,"saltmarshes",0,0,0,0,NA,NA,NA
"Tromelin Island",NA,"FRA",27,"seagrasses",0,0,0,0,NA,NA,NA
"Gabon","GAB","GAB",28,"coldcorals",0,0,0,0,NA,NA,NA
"Gabon","GAB","GAB",28,"coralreefs",0,0,0,0,NA,NA,NA
"Gabon","GAB","GAB",28,"mangroves",1795,944,29,0,52.5905292479109,1.61559888579387,0
"Gabon","GAB","GAB",28,"saltmarshes",0,0,0,0,NA,NA,NA
"Gabon","GAB","GAB",28,"seagrasses",0,0,0,0,NA,NA,NA
"Sao Tome and Principe","STP","STP",29,"coldcorals",1,0,0,0,0,0,0
"Sao Tome and Principe","STP","STP",29,"coralreefs",0,0,0,0,NA,NA,NA
"Sao Tome and Principe","STP","STP",29,"mangroves",0,0,0,0,NA,NA,NA
"Sao Tome and Principe","STP","STP",29,"saltmarshes",0,0,0,0,NA,NA,NA
"Sao Tome and Principe","STP","STP",29,"seagrasses",0,0,0,0,NA,NA,NA
"North Korea","PRK","PRK",30,"coldcorals",0,0,0,0,NA,NA,NA
"North Korea","PRK","PRK",30,"coralreefs",0,0,0,0,NA,NA,NA
"North Korea","PRK","PRK",30,"mangroves",0,0,0,0,NA,NA,NA
"North Korea","PRK","PRK",30,"saltmarshes",6,0,0,0,0,0,0
"North Korea","PRK","PRK",30,"seagrasses",0,0,0,0,NA,NA,NA
"Saba","BES","NLD",31,"coldcorals",8,8,0,0,100,0,0
"Saba","BES","NLD",31,"coralreefs",167,167,0,0,100,0,0
"Saba","BES","NLD",31,"mangroves",0,0,0,0,NA,NA,NA
"Saba","BES","NLD",31,"saltmarshes",0,0,0,0,NA,NA,NA
"Saba","BES","NLD",31,"seagrasses",1,1,0,0,100,0,0
"Northern Mariana Islands","MNP","USA",32,"coldcorals",0,0,0,0,NA,NA,NA
"Northern Mariana Islands","MNP","USA",32,"coralreefs",89,10,0,0,11.2359550561798,0,0
"Northern Mariana Islands","MNP","USA",32,"mangroves",0,0,0,0,NA,NA,NA
"Northern Mariana Islands","MNP","USA",32,"saltmarshes",0,0,0,0,NA,NA,NA
"Northern Mariana Islands","MNP","USA",32,"seagrasses",0,0,0,0,NA,NA,NA
"Kuril Islands",NA,"JPN",33,"coldcorals",1,0,0,0,0,0,0
"Kuril Islands",NA,"JPN",33,"coralreefs",0,0,0,0,NA,NA,NA
"Kuril Islands",NA,"JPN",33,"mangroves",0,0,0,0,NA,NA,NA
"Kuril Islands",NA,"JPN",33,"saltmarshes",0,0,0,0,NA,NA,NA
"Kuril Islands",NA,"JPN",33,"seagrasses",0,0,0,0,NA,NA,NA
"Senegal","SEN","SEN",34,"coldcorals",5,0,0,0,0,0,0
"Senegal","SEN","SEN",34,"coralreefs",0,0,0,0,NA,NA,NA
"Senegal","SEN","SEN",34,"mangroves",1259,693,669,0,55.0436854646545,53.1374106433678,0
"Senegal","SEN","SEN",34,"saltmarshes",0,0,0,0,NA,NA,NA
"Senegal","SEN","SEN",34,"seagrasses",1492,148,45,0,9.91957104557641,3.01608579088472,0
"Jordan","JOR","JOR",35,"coldcorals",0,0,0,0,NA,NA,NA
"Jordan","JOR","JOR",35,"coralreefs",3,0,0,0,0,0,0
"Jordan","JOR","JOR",35,"mangroves",0,0,0,0,NA,NA,NA
"Jordan","JOR","JOR",35,"saltmarshes",0,0,0,0,NA,NA,NA
"Jordan","JOR","JOR",35,"seagrasses",1,0,0,0,0,0,0
"Palestine","PSE","PSE",36,"coldcorals",0,0,0,0,NA,NA,NA
"Palestine","PSE","PSE",36,"coralreefs",0,0,0,0,NA,NA,NA
"Palestine","PSE","PSE",36,"mangroves",0,0,0,0,NA,NA,NA
"Palestine","PSE","PSE",36,"saltmarshes",0,0,0,0,NA,NA,NA
"Palestine","PSE","PSE",36,"seagrasses",0,0,0,0,NA,NA,NA
"Saudi Arabia","SAU","SAU",37,"coldcorals",7,0,0,0,0,0,0
"Saudi Arabia","SAU","SAU",37,"coralreefs",3447,446,0,0,12.93878735132,0,0
"Saudi Arabia","SAU","SAU",37,"mangroves",51,3,0,0,5.88235294117647,0,0
"Saudi Arabia","SAU","SAU",37,"saltmarshes",0,0,0,0,NA,NA,NA
"Saudi Arabia","SAU","SAU",37,"seagrasses",21107,335,0,0,1.5871511820723,0,0
"Serranilla Bank",NA,"COL",38,"coldcorals",0,0,0,0,NA,NA,NA
"Serranilla Bank",NA,"COL",38,"coralreefs",0,0,0,0,NA,NA,NA
"Serranilla Bank",NA,"COL",38,"mangroves",0,0,0,0,NA,NA,NA
"Serranilla Bank",NA,"COL",38,"saltmarshes",0,0,0,0,NA,NA,NA
"Serranilla Bank",NA,"COL",38,"seagrasses",0,0,0,0,NA,NA,NA
"French Guiana","GUF","FRA",39,"coldcorals",6,0,0,0,0,0,0
"French Guiana","GUF","FRA",39,"coralreefs",0,0,0,0,NA,NA,NA
"French Guiana","GUF","FRA",39,"mangroves",498,357,215,0,71.6867469879518,43.1726907630522,0
