"UNION","ISO_TER1","MRGID_EEZ","habitat","total","all_mpas","world_area","global_fraction","LPHPI","GPHPI","Target_analysis"
"South Georgia and the South Sandwich Islands","SGS",8383,"coldcorals",167,165,15343,0.0108863612428136,0.988023952095808,0.0107559856590673,0.00749007728622323
"Guernsey","GGY",21788,"coldcorals",0,0,15343,0,NA,NA,NA
"Indonesia","IDN",8492,"coldcorals",142,4,15343,0.00925666644598519,0.028169014084507,0.000260751167492541,-0.00251624876630302
"Ireland","IRL",5681,"coldcorals",478.227813720703,196.067764282227,15343,0.0311746151887696,0.409988207830872,0.0127812246110607,0.00342884005442984
"Marshall Islands","MHL",8318,"coldcorals",9,0,15343,0.000586690126858216,0,0,-0.000176007038057465
"Antarctica","ATA",8489,"coldcorals",364,110,15343,0.0237283562418212,0.302197802197802,0.00717065710604486,5.21502334985078e-05
"Malta","MLT",5685,"coldcorals",5,4,15343,0.000325938959365676,0.8,0.00026075116749254,0.000162969479682838
"Glorioso Islands",NA,48945,"coldcorals",0,0,15343,0,NA,NA,NA
"Cambodia","KHM",8331,"coldcorals",0,0,15343,0,NA,NA,NA
"Republic of Mauritius","MUS",8343,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Guam","GUM",48957,"coldcorals",0,0,15343,0,NA,NA,NA
"Saint Lucia","LCA",8416,"coldcorals",13,2,15343,0.000847441294350757,0.153846153846154,0.00013037558374627,-0.000123856804558957
"Solomon Islands","SLB",8314,"coldcorals",0,0,15343,0,NA,NA,NA
"Eritrea","ERI",8351,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Ecuador","ECU",8431,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Morocco","MAR",8367,"coldcorals",152.810134887695,0,15343,0.00996135526916477,0,0,-0.00298840658074943
"Comores","COM",8334,"coldcorals",0,0,15343,0,NA,NA,NA
"Jan Mayen","SJM",8437,"coldcorals",0,0,15343,0,NA,NA,NA
"Malaysia","MYS",8483,"coldcorals",8,0,15343,0.000521502334985081,0,0,-0.000156450700495524
"Prince Edward Islands",NA,8384,"coldcorals",6,6,15343,0.000391126751238811,1,0.000391126751238811,0.000273788725867168
"Madeira",NA,8363,"coldcorals",41.3570442199707,20,15343,0.0026959743910995,0.483593554065991,0.0013037558374627,0.000494963520132854
"France","FRA",5677,"coldcorals",236.996658325195,176.996658325195,15343,0.0154492888375313,0.746831873394303,0.0115380213251432,0.00690323467388382
"Europa Island","ATF",8341,"coldcorals",0,0,15343,0,NA,NA,NA
"Guinea","GIN",8472,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Dominican Republic","DOM",8409,"coldcorals",20.9791107177734,17.9791107177734,15343,0.00136758190315367,0.857000611686633,0.00117201852753427,0.000761743956588164
"Bermuda","BMU",8402,"coldcorals",25,0,15343,0.00162969479682838,0,0,-0.000488908439048513
