"UNION","MRGID_EEZ","ISO_TER1","G_Hs_P_I","L_Hs_P_I","T_Hs_I"
"Saint Vincent and the Grenadines",8421,"VCT",2.96344884990056e-05,0.200171685155837,-3.67761306818086e-05
"Samoa",8445,"WSM",9.58123493395226e-05,0.152643086963072,-0.000199079191377688
"Sao Tome and Principe",8397,"STP",5.7746864195431e-08,0.000195266471400195,-3.63452343095184e-05
"Saudi Arabia",8356,"SAU",0.000686320855754038,0.0648445125743221,-0.00399432365000581
"Senegal",8371,"SEN",0.00175797483781661,0.271179445553504,0.000658508385266291
"Senkaku Islands",48954,NA,0,0,-1.3964411768574e-05
"Serrana Bank",62596,NA,0.000633075908068652,1,0.000443153135648056
"Serranilla Bank",48984,NA,0,0,-4.22945998452053e-07
"Seychelles",8337,"SYC",0.00205629619371031,0.513926146189563,0.00125861741025964
"Sierra Leone",8390,"SLE",0.00173840353799798,0.170420985385054,-0.000572835300357884
"Singapore",8485,"SGP",1.88413288022408e-06,0.0372325960841189,-3.92810362868448e-05
"Sint-Eustatius",26526,"BES",4.07594419590175e-05,0.994565217391304,2.8529817227251e-05
"Sint-Maarten",21803,"SXM",1.55356216268282e-06,0.0208333333333333,-1.16428766549889e-05
"Slovenia",5692,"SVN",2.25791672870642e-05,0.362803812257364,5.99515253240214e-06
"Solomon Islands",8314,"SLB",0.000552177643594971,0.0774505870804086,-0.0017634149194394
"South Africa",8396,"ZAF",0.000644874261712886,0.531609193778055,-3.84139730856727e-05
"South Georgia and the South Sandwich Islands",8383,"SGS",0.00680622920003065,0.991857665344031,0.00474294975251814
"South Korea",8327,"KOR",9.64297638940368e-05,0.191061155308072,-7.16802342056122e-05
"Spain",5693,"ESP",0.0218873434967343,0.71625756982569,0.0141203102161786
"Sri Lanka",8346,"LKA",5.91540494171345e-05,0.10289586147083,-0.000569487366231164
"Sudan",8355,"SDN",0.00210466366033893,0.208856464400013,0.000786230274136633
"Suriname",8461,"SUR",0.000888042514763984,0.455602066864455,0.000353868818419819
"Svalbard",33181,"SJM",0.000112621319714934,0.0808346518139292,-0.000125698359190017
"Sweden",5694,"SWE",0.00117968411847964,0.482296378175445,0.000408976196622693
"Syria",8373,"SYR",0,0,-1.9376314953519e-05
"Taiwan",8321,"TWN",0.000294816044431048,0.220914724629192,-9.33989001002715e-05
"Tanzania",8479,"TZA",0.00571029512793233,0.482113021123732,0.00280188721540885
"Thailand",8332,"THA",0.00128770425456032,0.308199930536469,-0.000229547164180966
"Togo",8392,"TGO",1.10784372052166e-05,0.101783754116356,-9.38010384655777e-05
"Tokelau",8449,"TKL",6.75341490291987e-06,0.0101468477709465,-0.000258945660933525
"Tonga",8448,"TON",0.000309944992685367,0.0596015667950276,-0.000714445480837735
"Trinidad and Tobago",8420,"TTO",5.47039015253947e-05,0.163384635785924,-5.3723801946761e-05
"Trinidade",8381,NA,0.000350000767781158,0.807349179817787,0.000237718177382852
"Tristan Da Cunha",8382,"SHN",4.27141642524023e-05,0.105137645842116,-0.000301633180079228
"Tromelin Island",48946,NA,0,0,-0.000121403442630116
"Tunisia",8366,"TUN",0.000114629577308192,0.152798720184164,-0.00113906886878048
"Turkey",5697,"TUR",0.000212688233117261,0.199223204634427,-0.00010538749192936
"Turks and Caicos Islands",8405,"TCA",0.000189061978510789,0.188619271328588,-0.000129231464918366
"Tuvalu",8326,"TUV",0.000156494438275492,0.0267466241739516,-0.000637191328987057
"Ukraine",5695,"UKR",0.00167469144841331,0.187301653033013,-0.000386613298259963
"United Arab Emirates",8360,"ARE",0.000409583772761003,0.278573083897761,9.87167170733215e-05
"United Kingdom",5696,"GBR",0.00448615586090016,0.653696484357679,0.00232925722689265
"United States",8456,"USA",0.0133386096062492,0.466263318639023,0.000865118570801894
"United States Virgin Islands",33180,"VIR",4.12389121698442e-05,0.158140149837333,-4.28697778397276e-05
"Uruguay",8467,"URY",0.000305093068488394,0.226731786227945,-6.07776978764617e-05
"Vanuatu",8313,"VUT",5.32791947798801e-05,0.020926967315957,-0.000522818611022687
"Venezuela",8433,"VEN",0.00300957777167909,0.301791650209723,0.000732770193530278
"Vietnam",8484,"VNM",0.000394632196945163,0.0812324487383077,-0.000566812996910915
"Wake Island",8319,"UMI",0.000611572250647598,0.999784406624691,0.000428026201474777
"Wallis and Futuna",8454,"WLF",0,0,-0.000584561108544233
"Western Sahara",8368,"ESH",7.46726692182298e-09,1.09870791948668e-05,-0.000149316189290765
"Yemen",8353,"YEM",8.93751405670117e-06,0.0211056381565396,-0.00119807151241094
