"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","pp_all_mpas","pp_mean_all"
"Grenada","GRD","GRD",107,"knolls_seamounts",284.260620117188,0,0,15.3285710122635
"Falkland Islands","FLK","GBR",108,"coldcorals",23,7,30.4347826086957,20.5718642810216
"Falkland Islands","FLK","GBR",108,"coralreefs",0,0,NA,20.5718642810216
"Falkland Islands","FLK","GBR",108,"mangroves",0,0,NA,20.5718642810216
"Falkland Islands","FLK","GBR",108,"saltmarshes",0,0,NA,20.5718642810216
"Falkland Islands","FLK","GBR",108,"seagrasses",0,0,NA,20.5718642810216
"Falkland Islands","FLK","GBR",108,"knolls_seamounts",13222.58984375,1416,10.7089459533475,20.5718642810216
"Norfolk Island","NFK","AUS",109,"coldcorals",40,40,100,46.6621124331193
"Norfolk Island","NFK","AUS",109,"coralreefs",0,0,NA,46.6621124331193
"Norfolk Island","NFK","AUS",109,"mangroves",0,0,NA,46.6621124331193
"Norfolk Island","NFK","AUS",109,"saltmarshes",0,0,NA,46.6621124331193
"Norfolk Island","NFK","AUS",109,"seagrasses",1,0,0,46.6621124331193
"Norfolk Island","NFK","AUS",109,"knolls_seamounts",84330.875,33720.828125,39.986337299358,46.6621124331193
"Guadeloupe","GLP","FRA",110,"coldcorals",9,9,100,97.8691042507222
"Guadeloupe","GLP","FRA",110,"coralreefs",108,106,98.1481481481482,97.8691042507222
"Guadeloupe","GLP","FRA",110,"mangroves",44,41,93.1818181818182,97.8691042507222
"Guadeloupe","GLP","FRA",110,"saltmarshes",0,0,NA,97.8691042507222
"Guadeloupe","GLP","FRA",110,"seagrasses",757,745,98.4147952443857,97.8691042507222
"Guadeloupe","GLP","FRA",110,"knolls_seamounts",26235.373046875,26130.630859375,99.6007596792588,97.8691042507222
"Bahamas","BHS","BHS",111,"coldcorals",414.925262451172,31.1470031738281,7.50665384648481,33.4649494839486
"Bahamas","BHS","BHS",111,"coralreefs",2202,365,16.5758401453224,33.4649494839486
"Bahamas","BHS","BHS",111,"mangroves",955,630,65.9685863874346,33.4649494839486
"Bahamas","BHS","BHS",111,"saltmarshes",326,304,93.2515337423313,33.4649494839486
"Bahamas","BHS","BHS",111,"seagrasses",2269,73,3.21727633318643,33.4649494839486
"Bahamas","BHS","BHS",111,"knolls_seamounts",39671.17578125,5661,14.2698064489321,33.4649494839486
"Qatar","QAT","QAT",112,"coldcorals",0,0,NA,28.1241336055779
"Qatar","QAT","QAT",112,"coralreefs",150.728729248047,1.0128310918808,0.671956233515399,28.1241336055779
"Qatar","QAT","QAT",112,"mangroves",6,5,83.3333333333333,28.1241336055779
"Qatar","QAT","QAT",112,"saltmarshes",2.47692775726318,0.476927876472473,19.2548157722389,28.1241336055779
"Qatar","QAT","QAT",112,"seagrasses",1144.69616699219,105.729049682617,9.236429083224,28.1241336055779
"Qatar","QAT","QAT",112,"knolls_seamounts",0,0,NA,28.1241336055779
"United States","USA","USA",113,"coldcorals",1424.50622558594,190.852996826172,13.3978352216515,46.4730449825036
"United States","USA","USA",113,"coralreefs",749,575,76.7690253671562,46.4730449825036
"United States","USA","USA",113,"mangroves",1906.00146484375,1729.00146484375,90.7135433385142,46.4730449825036
"United States","USA","USA",113,"saltmarshes",17186.779296875,5537.99072265625,32.2223880751363,46.4730449825036
"United States","USA","USA",113,"seagrasses",13396.16796875,8518.5322265625,63.5893208149835,46.4730449825036
"United States","USA","USA",113,"knolls_seamounts",210308.796875,4513.55712890625,2.14615707758004,46.4730449825036
"Brazil","BRA","BRA",114,"coldcorals",230,1,0.434782608695652,46.7178728267441
"Brazil","BRA","BRA",114,"coralreefs",683,626,91.6544655929722,46.7178728267441
"Brazil","BRA","BRA",114,"mangroves",10868,9552,87.8910563121089,46.7178728267441
"Brazil","BRA","BRA",114,"saltmarshes",2915,979,33.5849056603774,46.7178728267441
"Brazil","BRA","BRA",114,"seagrasses",546,61,11.1721611721612,46.7178728267441
"Brazil","BRA","BRA",114,"knolls_seamounts",398212.03125,221285.890625,55.5698656141495,46.7178728267441
"South Korea","KOR","KOR",115,"coldcorals",0,0,NA,18.1279461279461
"South Korea","KOR","KOR",115,"coralreefs",0,0,NA,18.1279461279461
"South Korea","KOR","KOR",115,"mangroves",0,0,NA,18.1279461279461
"South Korea","KOR","KOR",115,"saltmarshes",225,36,16,18.1279461279461
"South Korea","KOR","KOR",115,"seagrasses",99,38,38.3838383838384,18.1279461279461
"South Korea","KOR","KOR",115,"knolls_seamounts",24862.939453125,0,0,18.1279461279461
"Heard and McDonald Islands","HMD","AUS",116,"coldcorals",2,1,50,42.2916281847151
"Heard and McDonald Islands","HMD","AUS",116,"coralreefs",0,0,NA,42.2916281847151
"Heard and McDonald Islands","HMD","AUS",116,"mangroves",0,0,NA,42.2916281847151
"Heard and McDonald Islands","HMD","AUS",116,"saltmarshes",0,0,NA,42.2916281847151
"Heard and McDonald Islands","HMD","AUS",116,"seagrasses",0,0,NA,42.2916281847151
"Heard and McDonald Islands","HMD","AUS",116,"knolls_seamounts",35612.609375,12316,34.5832563694302,42.2916281847151
"Trinidade",NA,"BRA",117,"coldcorals",2,1,50,80.7030380516223
"Trinidade",NA,"BRA",117,"coralreefs",13,12,92.3076923076923,80.7030380516223
"Trinidade",NA,"BRA",117,"mangroves",0,0,NA,80.7030380516223
"Trinidade",NA,"BRA",117,"saltmarshes",0,0,NA,80.7030380516223
"Trinidade",NA,"BRA",117,"seagrasses",0,0,NA,80.7030380516223
"Trinidade",NA,"BRA",117,"knolls_seamounts",45855.29296875,45764.234375,99.8014218471746,80.7030380516223
"Wake Island","UMI","USA",118,"coldcorals",0,0,NA,99.9542885182833
"Wake Island","UMI","USA",118,"coralreefs",11,11,100,99.9542885182833
"Wake Island","UMI","USA",118,"mangroves",0,0,NA,99.9542885182833
"Wake Island","UMI","USA",118,"saltmarshes",0,0,NA,99.9542885182833
"Wake Island","UMI","USA",118,"seagrasses",0,0,NA,99.9542885182833
"Wake Island","UMI","USA",118,"knolls_seamounts",77695.1953125,77624.1640625,99.9085770365667,99.9542885182833
"Western Sahara","ESH","ESH",119,"coldcorals",20,0,0,0
"Western Sahara","ESH","ESH",119,"coralreefs",0,0,NA,0
"Western Sahara","ESH","ESH",119,"mangroves",0,0,NA,0
"Western Sahara","ESH","ESH",119,"saltmarshes",1.22260272502899,0,0,0
"Western Sahara","ESH","ESH",119,"seagrasses",1,0,0,0
"Western Sahara","ESH","ESH",119,"knolls_seamounts",1328.84777832031,0,0,0
"Greenland","GRL","DNK",120,"coldcorals",19,0,0,18.0893788492177
"Greenland","GRL","DNK",120,"coralreefs",0,0,NA,18.0893788492177
"Greenland","GRL","DNK",120,"mangroves",0,0,NA,18.0893788492177
"Greenland","GRL","DNK",120,"saltmarshes",3907,2801,71.6918351676478,18.0893788492177
"Greenland","GRL","DNK",120,"seagrasses",3,0,0,18.0893788492177
"Greenland","GRL","DNK",120,"knolls_seamounts",177803.890625,1183.60534667969,0.665680229222875,18.0893788492177
"Galapagos",NA,"ECU",121,"coldcorals",53,53,100,83.9858376355397
"Galapagos",NA,"ECU",121,"coralreefs",123,123,100,83.9858376355397
"Galapagos",NA,"ECU",121,"mangroves",32,32,100,83.9858376355397
"Galapagos",NA,"ECU",121,"saltmarshes",9,9,100,83.9858376355397
"Galapagos",NA,"ECU",121,"seagrasses",0,0,NA,83.9858376355397
"Galapagos",NA,"ECU",121,"knolls_seamounts",187724.65625,37412,19.9291881776984,83.9858376355397
"Haiti","HTI","HTI",122,"coldcorals",4,0,0,16.3993714207307
"Haiti","HTI","HTI",122,"coralreefs",324,123,37.962962962963,16.3993714207307
"Haiti","HTI","HTI",122,"mangroves",149.072006225586,63.0720024108887,42.309756209656,16.3993714207307
"Haiti","HTI","HTI",122,"saltmarshes",0,0,NA,16.3993714207307
"Haiti","HTI","HTI",122,"seagrasses",754,13,1.72413793103448,16.3993714207307
"Haiti","HTI","HTI",122,"knolls_seamounts",17094.9609375,0,0,16.3993714207307
"Howland and Baker islands","UMI","USA",123,"coldcorals",1,1,100,68.7767090257151
"Howland and Baker islands","UMI","USA",123,"coralreefs",5,5,100,68.7767090257151
"Howland and Baker islands","UMI","USA",123,"mangroves",0,0,NA,68.7767090257151
"Howland and Baker islands","UMI","USA",123,"saltmarshes",0,0,NA,68.7767090257151
"Howland and Baker islands","UMI","USA",123,"seagrasses",0,0,NA,68.7767090257151
"Howland and Baker islands","UMI","USA",123,"knolls_seamounts",93235.6875,5901.9375,6.33012707714522,68.7767090257151
"Papua New Guinea","PNG","PNG",124,"coldcorals",2,0,0,4.19648002532244
"Papua New Guinea","PNG","PNG",124,"coralreefs",7361.25439453125,306.883178710938,4.16889788429163,4.19648002532244
"Papua New Guinea","PNG","PNG",124,"mangroves",4656.02783203125,220.027923583984,4.72565739556574,4.19648002532244
"Papua New Guinea","PNG","PNG",124,"saltmarshes",0,0,NA,4.19648002532244
"Papua New Guinea","PNG","PNG",124,"seagrasses",9257.9140625,1118,12.0761544388121,4.19648002532244
"Papua New Guinea","PNG","PNG",124,"knolls_seamounts",371436.25,43.4224128723145,0.0116904079427666,4.19648002532244
"Alaska",NA,"USA",125,"coldcorals",248,1,0.403225806451613,30.2447662052434
"Alaska",NA,"USA",125,"coralreefs",0,0,NA,30.2447662052434
"Alaska",NA,"USA",125,"mangroves",0,0,NA,30.2447662052434
"Alaska",NA,"USA",125,"saltmarshes",1613.27453613281,624,38.6790955924832,30.2447662052434
"Alaska",NA,"USA",125,"seagrasses",181,148,81.767955801105,30.2447662052434
"Alaska",NA,"USA",125,"knolls_seamounts",407647.875,525,0.128787620933876,30.2447662052434
"Saint-Barthélemy","BLM","FRA",126,"coldcorals",1,1,100,99.9791722145679
"Saint-Barthélemy","BLM","FRA",126,"coralreefs",12,12,100,99.9791722145679
"Saint-Barthélemy","BLM","FRA",126,"mangroves",0,0,NA,99.9791722145679
"Saint-Barthélemy","BLM","FRA",126,"saltmarshes",0,0,NA,99.9791722145679
"Saint-Barthélemy","BLM","FRA",126,"seagrasses",20,20,100,99.9791722145679
"Saint-Barthélemy","BLM","FRA",126,"knolls_seamounts",667.194274902344,666.638427734375,99.9166888582714,99.9791722145679
"Tanzania","TZA","TZA",127,"coldcorals",0,0,NA,41.8950244080269
"Tanzania","TZA","TZA",127,"coralreefs",1765.47265625,849.472595214844,48.1158737977392,41.8950244080269
"Tanzania","TZA","TZA",127,"mangroves",1110.95031738281,949.016418457031,85.4238397170393,41.8950244080269
"Tanzania","TZA","TZA",127,"saltmarshes",5973,3443,57.6427255985267,41.8950244080269
"Tanzania","TZA","TZA",127,"seagrasses",82,15,18.2926829268293,41.8950244080269
"Tanzania","TZA","TZA",127,"knolls_seamounts",3755.8056640625,0,0,41.8950244080269
"Sierra Leone","SLE","SLE",128,"coldcorals",0,0,NA,42.1937591359509
"Sierra Leone","SLE","SLE",128,"coralreefs",0,0,NA,42.1937591359509
"Sierra Leone","SLE","SLE",128,"mangroves",1240,560,45.1612903225806,42.1937591359509
"Sierra Leone","SLE","SLE",128,"saltmarshes",0,0,NA,42.1937591359509
"Sierra Leone","SLE","SLE",128,"seagrasses",4407.76513671875,1729,39.2262279493211,42.1937591359509
"Sierra Leone","SLE","SLE",128,"knolls_seamounts",0,0,NA,42.1937591359509
"Bangladesh","BGD","BGD",129,"coldcorals",0,0,NA,22.9153696546726
"Bangladesh","BGD","BGD",129,"coralreefs",6,0,0,22.9153696546726
"Bangladesh","BGD","BGD",129,"mangroves",4098.7763671875,3756.9990234375,91.6614786186903,22.9153696546726
"Bangladesh","BGD","BGD",129,"saltmarshes",0,0,NA,22.9153696546726
"Bangladesh","BGD","BGD",129,"seagrasses",1,0,0,22.9153696546726
